Type,PH,CAP,NPN,TNN
Tall,103,18,11,21
Short,45,31,8,19
Intermediate,63.5,24,7,15
Short,49,33,10,20
Short,52,26,9,20
Tall,93.5,24,9,17
Tall,95.5,31,9,17
Tall,96.5,31,10,18
Intermediate,70.5,34,8,17
Tall,99,27,8,18
Short,43,28,8,17
Tall,93,29,14,17
Tall,94.5,26,10,18
Intermediate,77,27,7,18
Intermediate,70.5,31,7,23
Tall,98.5,26,9,19
Intermediate,63,24,9,19
Intermediate,76,30,10,18
Tall,107.5,30,9,18
Tall,88,24,13,22
Short,47,17,7,16
Short,56,36,10,20
Short,55,21,10,19
Intermediate,66,27,13,23
Intermediate,76.5,25,9,18
Intermediate,78,25,10,18
Tall,86.5,25,10,19
Short,50.5,29,9,18
Intermediate,76,27,7,16
Tall,85,16,9,18
Tall,93,24,9,18
Intermediate,79,31,10,19
Short,53,34,10,19
Tall,95,26,11,18
Tall,98,31,9,18
Tall,96.5,25,12,20
Tall,99,21,8,19
Tall,82.5,21,9,18
Short,46.5,18,8,16
Intermediate,79,42,9,18
Short,48.5,32,9,18
Tall,82.5,41,9,18
Short,51,41,9,18
Tall,82,27,10,19
Tall,95,33,9,18
Intermediate,73.5,20,8,17
Intermediate,66.5,33,11,24
Tall,84.5,29,9,19
Tall,99.5,24,9,19
Tall,93.5,34,9,19
Tall,96,30,8,16
Short,55.5,33,10,20
Short,55.5,33,10,20
Intermediate,76.5,37,13,21
Short,53,31,7,17
Intermediate,76.5,12,9,17
Tall,87,29,9,19
Tall,94,30,10,18
Intermediate,64.5,32,10,18
Tall,87.5,25,11,19
Tall,84.5,34,12,20
Intermediate,75.5,32,9,17
Tall,86.5,23,10,19
Tall,84,24,10,20
Intermediate,69.5,28,8,17
Intermediate,74,44,9,17
Tall,96.5,38,10,19
Short,54.5,41,10,19
Intermediate,72.5,28,11,19
Tall,102,30,11,19
Intermediate,76,31,8,16
Tall,89,30,8,18
Tall,98.5,20,10,18
Short,53,27,8,17
Short,50.5,33,11,21
Tall,87,34,10,19
Intermediate,74.5,42,10,19
Short,50,38,10,21
Tall,85.5,33,11,19
Tall,92,27,13,21
Tall,88,36,13,21
Short,52.5,24,10,19
Tall,97.5,41,11,21
Intermediate,79,34,8,17
Tall,96.5,35,11,19
Short,58,27,9,18
Tall,93.5,31,12,20
Tall,82.5,27,11,18
Tall,85,24,11,18
Tall,92,39,11,18
Intermediate,61.5,27,9,17
Tall,86,28,8,17
Tall,117.5,21,12,20
Tall,100,35,9,17
Tall,84,27,10,19
Intermediate,64.5,18,9,16
Intermediate,72,25,10,18
Tall,89,30,9,20
Short,59,31,9,20
Tall,84,29,9,17
Short,56.5,32,12,21
Intermediate,77,28,9,17
Short,49,31,10,19
Short,55.5,37,12,21
Intermediate,79.5,33,6,15
Tall,92.5,25,10,17
Tall,95,34,10,17
Tall,85.5,33,9,18
Tall,90,36,13,21
Tall,86,25,9,18
Intermediate,79,20,8,16
Short,51,29,10,19
Tall,85,27,10,19
Tall,91,37,12,19
Short,43,30,8,16
Tall,101.5,22,9,18
Short,58,30,8,17
Tall,94,24,11,18
Tall,101,22,8,16
Intermediate,77.5,33,9,18
Tall,97,25,9,18
Intermediate,73.5,28,8,18
Tall,96.5,29,10,19
Tall,102.5,31,11,19
Intermediate,80,22,10,18
Intermediate,73,27,8,17
Tall,94,35,9,20
Short,59.5,20,10,19
Tall,83,28,9,18
Tall,88.5,25,10,18
Tall,90,18,9,16
Intermediate,65,11,7,15
Short,50.5,19,8,17
Tall,86.5,2.7,9,18
Tall,90.5,29,9,17
Short,60,28,9,20
Tall,86.5,33,11,18
Short,50,13,7,18
Tall,101.5,11,5,14
Tall,100,13,7,18
Tall,96,23,9,17
Tall,96,22,9,17
Short,50.5,18,11,22
Tall,95.5,16,8,17
Tall,84.5,26,9,16
Short,57,24,10,20
Tall,107,32,10,18
Tall,95,20,10,18
Intermediate,73,31,9,16
Tall,85,27,10,18
Short,56.5,23,11,19
Intermediate,75,26,8,15
Intermediate,73,22,10,18
Tall,98,23,9,18
Intermediate,69,26,8,15
Tall,89,22,9,17
Tall,92,20,10,17
Intermediate,70.5,24,7,14
Tall,81,18,8,16
Tall,81,28,9,17
Short,56,19,10,18
Tall,96,16,10,17
Intermediate,73.5,23,10,18
Short,53,23,7,16
Intermediate,69,22,11,19
Intermediate,65,17,9,17
Tall,85,27,11,20
Tall,95,29,10,19
Intermediate,63,21,10,19
Tall,90,28,9,17
Tall,92,22,12,20
Tall,96.5,30,8,16
Intermediate,73,24,7,17
Short,48,25,7,16
Short,59,25,9,17
Short,56,36,10,19
Short,51,28,10,18
Tall,85,26,11,18
Tall,102.5,28,9,17
Tall,85.5,19,7,16
Tall,104,25,8,19
Tall,102,31,9,20
Tall,89,38,11,18
Intermediate,74,31,10,19
Tall,95,28,11,20
Tall,97.5,32,13,20
Tall,86.5,35,11,19
Short,42,34,8,18
Tall,85.5,32,10,19
Intermediate,65.5,39,11,19
Tall,88,41,10,19
Tall,96.5,32,10,18
Tall,83.5,40,11,21
Tall,85.5,43,13,20
Short,50,21,11,21
Tall,85.5,36,9,17
Short,58,37,11,19
Tall,90.5,32,9,18
Tall,86,36,10,19
Tall,95.5,28,8,16
Short,54,34,10,19
Short,50,34,10,19
Tall,87.5,43,12,20
Tall,86,38,10,18
Short,54.5,31,8,17
Tall,97.5,39,12,21
Tall,86,39,11,19
Intermediate,77.5,33,8,17
Tall,98,34,10,19
Intermediate,79,36,11,19
Tall,96.5,24,9,18
Tall,96.5,35,10,19
Tall,81,23,11,20
Intermediate,63,26,10,19
Tall,91,32,12,19
Tall,97.5,34,11,19
Short,57,36,10,18
Tall,94,19,8,17
Intermediate,64,30,11,20
Intermediate,80,42,10,17
Tall,88.5,32,10,18
Tall,85,26,10,18
Tall,84,28,11,19
Tall,92,29,10,19
Tall,100,33,11,21
Short,50,37,12,21
Tall,89.5,32,11,19
Short,59,25,9,19
Intermediate,70,24,9,16
Short,49,21,10,18
Short,58.5,30,11,22
Tall,96,40,10,18
Short,52.5,30,11,22
Tall,102,24,10,18
Intermediate,79.5,37,11,19
Tall,88.5,25,9,16
Short,54,27,10,19
Intermediate,80,19,9,18
Intermediate,80,26,9,17
Tall,85.5,32,13,20
Tall,92.5,28,10,19
Intermediate,63,25,12,20
Tall,92,37,13,20
Tall,95,32,12,20
Tall,88,22,8,17
Tall,108,20,9,16
Tall,97.5,39,12,19
Intermediate,68,23,9,15
Intermediate,63,33,11,20
Short,53.5,26,10,19
Tall,84.5,20,9,17
Tall,84,32,9,17
Short,46,15,9,18
Intermediate,70.5,37,10,18
Tall,86,30,8,18
Tall,84,31,8,16
Tall,97,28,9,17
Intermediate,80,29,12,20
Short,55,37,10,19
Tall,86.5,32,12,19
Intermediate,68.5,34,10,18
Tall,86,30,10,18
Tall,89.5,28,10,18
Intermediate,67,26,8,17
Tall,83.5,34,8,17
Tall,97,36,12,20
Tall,84.5,36,11,20
Tall,89,33,9,18
Tall,82.5,32,10,18
Tall,80.5,35,11,19
Tall,89,30,11,19
Tall,86,34,11,19
Short,48.5,34,13,23
Intermediate,67,38,11,21
Tall,89.5,33,7,16
Tall,104,31,15,24
Intermediate,68.5,33,10,17
Short,54,27,10,20
Tall,86,28,11,20
Tall,94.5,16,9,17
Tall,86,32,9,17
Tall,93,20,8,17
Tall,91.5,23,11,20
Short,47,30,11,21
Intermediate,69,23,8,15
Tall,86,19,9,17
Tall,94,22,8,18
Tall,89,29,9,17
Tall,83.5,14,10,18
Intermediate,70,21,16,26
Tall,94,20,7,15
Tall,91.5,15,10,17
Short,42,25,7,17
Intermediate,74.5,23,8,16
Intermediate,61,20,10,21
Intermediate,70,28,8,18
Tall,104.5,23,9,18
Tall,82.5,21,9,17
Short,44.5,24,8,18
Tall,104,22,11,19
Short,51,22,9,19
Intermediate,61,15,9,19
Tall,98,21,9,18
Intermediate,68,22,10,19
Intermediate,78,34,11,18
Tall,108.5,21,9,18
Tall,85,22,9,18
Short,52,23,9,18
Tall,91.5,22,8,17
Tall,87,20,10,18
Tall,103.5,23,13,20
Short,50.5,27,10,18
Tall,85.5,26,10,19
Tall,101,22,8,18
Short,42.5,21,10,18
Short,42.5,29,9,18
Short,45,16,7,17
Tall,101.5,28,10,19
Tall,91,40,11,20
Tall,96.5,21,9,18
